First Name,Last Name,Gender,Imprint,Trade,Additional Print Agent (STC),Title Page Author,Author First Name,Author Last Name,Additional Authors,Title,Alternate Titles,Genre,Year,Total Paratexts,Paratext Title,Paratext Type,Dedicatee,Assumed Dedicatee Gender,Illustration,STC No,Additional Paratexts,Notes,Copy From,Source
John,Rastell,Male,London: J. Rastell,Printer,,Geffray Chaucer,Geoffrey,Chaucer,,Here begynneth the parlyamet of fowles compyled by the noble rethorycyen Geffray chaucer Johanes Rastell in laudem magistri Galfridi Chaucer,Parliament of fowls,Verse | Poetry,1525,1,[Prologue],Preface | To the Reader,,,No,5091.5,,Prologue page missing from EEBO scan | Formerly STC 5093,Not available,EEBO
John,Rastell,Male,London: Johanes Rastel imprimi me fecit,Printer,,,Anonymous,,,Magnum abbreviamentu statutorum anglie vs[que] ad annum .xv. H. viii inclusive,Laws,Law | Reports | Jurisprudence,1528,2,The Prologue | Tabula,Preface | To the Reader,,,No,9520,,,Peterborough Cathedral Library and Archives,EEBO
Robert,Copland,Male,"Imprynted in london: In Flete strete at the sygne of the Sonne agaynste the condyte, by me Wynkyn de Worde",Publisher | Editor,Wynkyn de Worde,,Geoffrey,Chaucer,,The assemblie of foules Here foloweth the assemble of foules veray pleasaunt and compendyous to rede or here compyled by the preclared and famous clerke Geffray Chaucer.,Parliament of Fowls,Verse,1530,2,Robert Coplande boke prynter to new fanglers | Lenvoy of R. Coplande boke prynter,To the Reader | Envoy,,,No,5092,,"Copland calls himself ""printer,"" but seems to be taking on the modern role of editor or publisher. Imprint from colophon",The Huntington Library,EEBO
Robert,Copland,Male,Enprynted at London: In the Fletestrete at the sygne of the Sonne by Wynkyn de worde,Publisher | Editor,Wynkyn de Worde,,William,Neville,Robert Copland,"The castell of pleasure The conueyaunce of a dreme how Desyre went to the castell of pleasure, wherin was the gardyn of affeccyon inhabyted by Beaute to whome he amerously expressed his loue vpon ye whiche supplycacyon rose grete stryfe dysputacyon, and argument betwene Pyte and Dysdayne.",The Castle of Pleasure,Verse,1530,2,Coplande the prynter to the auctour | R. Coppande to thauctour,Preface | Dialogue,,,No,18475,,"Copland calls himself ""printer,"" but seems to be taking on the modern role of editor or publisher. Imprint from colophon. | Publication data conjectured by STC.",The Huntington Library,EEBO
Francis,Raphelengius,Male,None,Printer,,,Anonymous,,William Rastell,The grete abbregement of the statutys of Englond vntyll the. xxij. yere of kyng Henry the. viij,Laws,Politics | Law,1531,2,Proheminin Johannis Raphell | The Table,To the Reader | Table of Contents,,,No,9521,,Edited by William Rastall? (STC),British Library,EEBO
Thomas,Berthelet,Male,"Imprinted at London: In Fletestrete by Thomas Berthelette printer to the kingis grace, an. M.D.XXXII. Cum privilegio.",Printer,,,John,Gower,,Io. Gower de confessione amantis,De confessione amantis,Verse,1532,2,To the Reder | The Table | To the most victorious and our moste gracious soveraigne lorde kynge Henry the viii kinge of Englande and of France/Defender of the feyth/and lorde of Irelande &.,To the Reader | Table of Contents | Dedication,Henry VIII,,No,12143,,,British Library,EEBO
Thomas,Berthelet,Male,None,Printer,,,Xenophon,,Gentian Hervet,Xenophons treatise of housholde,Xenophons treatise of housholde,Home Economics | Household,1532,1,To the Reader,To the Reader,,,No,26069,,Bodleian library copy contains handwritten notes,Bodleian Library,EEBO
Thomas,Man,Male,"London: Printed for Thomas Man, dwelling in Pater Noster-row at the signe of the Talbot",Bookseller,Thomas Scarlet | J. Danter,,Henry,Smith,,"Thirteene sermons vpon seuerall textes of Scripture Containing necessarie and profitable doctrine, as well for the reformation of our liues, as for the comfort of troubled consciences in all distresses. By Henrie Smith.",Thirteen Sermons,Devotional | Sermons,1532,1,"To the right honorable Sir William Cicell [sic] knight ... T. M. wisheth all increase of Honor and godliness in this life, and endlesse happinesse of the life to come",Dedication,Wiliam Cecil,,No,22717,To the reader,Bound with Henrie Smith's Satans Compassing the Earth (1552) | Dedication removed from edited collection The Sermons of Master Henrie Smith (STC 22718),Folger Shakespeare Library,EEBO
John,Byddell,Male,None,Bookseller,Wynkyn de Worde,,Desiderius,Erasmus,,"A booke called in latyn Enchiridion militis christiani, and in englysshethe manuell of the christen knyght replenysshed with mosteholsome preceptes, made by the famous clerke Erasmus of Roterdame, to the whiche is added a newe and meruaylousprofytable preface.",Enchiridion militis christiani,Devotional,1533,1,The printer to the faythfull reder,To the Reader,,,No,10479,,,British Library,EEBO
Robert,Copland,Male,Imprynted at London: In Fletestrete at the sygne of the Sonne by me Wynkyn de worde,Publisher | Editor,Wynkyn de Worde,,William,Walter,,"The spectacle of lovers here after foloweth a lytell contrauers dyalogue bytwene loue and councell, with many goodly argumentes of good women and bad, very compendyous to all estates, newly compyled by wyllyam walter seruaunt vnto syr Henry Marnaye knyght Chauncelour of the Duchye of",,Verse,1533,1,Lenvoy of Robert Coplande,Envoy,,,No,25008,,"Copland calls himself ""printer,"" but seems to be taking on the modern role of editor or publisher. Imprint from colophon. | Publication data conjectured by STC.",The Huntington Library,EEBO
Robert,Redman,Male,London: In Flete strete by me Robert Redman dwellyng in saynt Dunstones parysshe at the signe of the George,Printer,,,John,Breton,,Britton cum privilegio regali,De legibus et consuetudinibus Angliae,Law | Jurisprudence,1533,2,To the Readers | Errata,To the Reader | Errata,,,No,3803,,"Williams attributes preface ""To the Readers"" to Redman",British Library,EEBO
Thomas,Berthelet,Male,Londini: In aedibus Tho. Berthel regii impress. excus. Cum privilegio,Printer,,,Anthony,Fitzherbert,,The boke for a justyce of peace never soo wel and diligently set forthe,The boke for a justyce of peace,Jurisprudence,1535,2,To the Reader | [Untitled Table of Contents],To the Reader | Table of Contents,,,No,14873,,,British Library,EEBO
Thomas,Berthelet,Male,Anno M.D.XXXV,Printer,,,Antonio,de Guevara,John Bourchier Lord Berners,The golden boke of Marcus Aurelius Emperour and eloquent oratour,The golden boke of Marcus Aurelius,Education,1535,1,The Table,Table of Contents,,,Yes,12436.5,,,The Huntington Library,EEBO
Thomas,Berthelet,Male,An. M.D.XXIX,Printer,,,John,Fitzherbert,Sir Anthony Fitzherbert,Surveyinge,Surveyinge,Agriculture | Economics,1539,2,To the Reader | The table of this booke,To the Reader | Table of Contents,,,No,11008,,,British Library,EEBO
Thomas,Berthelet,Male,None,Printer,,,Anon,,,The boke for a justice of peace,,Jurisprudence,1539,2,To the Reader | [Untitled Table of Contents],To the Reader | Table of Contents,,,No,14876,,,British Library | Harvard University Library,EEBO
Thomas,Gibson,Male,"Londini: In edibus Thome Gybson, Anno. M.D.XXXIX.",Printer,,,Anon.,,,"The great herball newly corrected. The contentes of this boke. A table after the latyn names of all herbes, a table after the Englysshe names of all herbes. The propertees and qualytes of all thynges in this booke. The descrypcyon of vrynes, how a man shall haue trewe knoweledge of all sekenesses. An exposycyon of the wordes obscure and not well knowen. A table, quyckly to fynde remedyes for all dyseases, God saue the Kynge",The Great Herbal,Medicine,1539,2,"The printer to the reader | Here after followeth the table after the lay names of all herves | Hereafter followeth a table very wyll and profytable for them that desyre to fynde quyckely a remedye agaynste all manner of dyseases, & they be marked by the letters of the A.B.C in every chapter",To the Reader | Index,,,No,13178,,This edition lacks illustrations.,British Library,EEBO
Thomas,Davidson,Male,None,Printer,,,Hector,Boece,John Bellenden,Heir beginnis the hystory and croniklis of Scotland,,History,1540,3,The excusation of the prenter | The contents of this buke | Tabula (Diiiir),To the Reader | Table of Contents,,,No,3203,,,British Library,EEBO
Richard,Bankes,Male,"Imprinted in London: by Richarde Bankes, and are to be solde in Fletestrete at the sygne of the whyte Harte",Printer,,,Richard,Taverner,,The Epistles and Gospelles with a brief postill upon the same from Advent tyll Low Sondaye with certayne other fruitful sermons drawen forth by diuerse learned men for the singuler comoditie of all good christians and namely of prestes and curates,The Epistles and Gospelles,Religion,1540,3,The Copy of the Kinges Gracious Privilege | A Table of the Exortacions of the gospels and epistles conteyned in thys present parte,Privilege | Table of Contents,,,No,2967,Richard Taverner to the Christian Reader,,Cambridge University Library,EEBO
Thomas,Berthelet,Male,Anno M.D.X.L.IIII,Printer,,,,,,"In this volume are conteined the statutes made and established from the time of Kyng Henry the Thirde, vnto the fyrste yere of the reigne of our most gratious and victorious soveraigne lorde Kinge Henry the VIII.",Statutes made and established from the time of Kyng Henry the Third,Jurisprudence,1543,2,To the Reder | The Table,To the Reader | Table of Contents,,,No,9301,,"See also The Huntington Library copy, STC 9301.3",British Library,EEBO
Richard,Grafton,Male,Londini: In officina Richardi Grafton,Printer,,,John,Hardying,,"The chronicle of Ihon Hardyng from the firste begynnyng of Englande, vnto the reigne of kyng Edward the fourth wher he made an end of his chronicle. And from that tyme is added a continuacion of the storie in prose to this our tyme, now first imprinted, gathered out of diuerse and sondery autours yt haue write[n] of the affaires of Englande.",,History,1543,3,"The dedication of this present worke, unto the right honorable lorde Thomas duke of Norfolke, by then printer, Richarde Grafton | To the reader [fol.1 of appended text]",Dedication | To the Reader,"Thomas Howard, III Duke of Norfolk",Male,No,12767,The preface into the Chronicle of John Hardying | The proheme [sic] of John Hardying into this his chronycle,Grafton edits the compilation beginning (with separate title page) on 2A1 | In this edition the Continuation is revised and omits most of Henry VIII.,British Library,EEBO
Thomas,Berthelet,Male,Anno M.D.X.L.IIII,Printer,,,Anthony,Cope,,"The historie of two the moste noble capitaines of the worlde, Anniball and Scipio of theyr dyuers battailes and victories, excedyng profitable to reade, gathered and translated into Englishe, out of Titus Liuius, and other authoures, by Antonye Cope esquier.",The historie of two the moste noble capitaines of the worlde,History,1544,2,Tho. Berthelet on this historie | The Table,Verse Advertisement | Table of Contents,,,No,5718,,,British Library,EEBO
John,Day,Male,"Imprinted at London: by John Daye and William Seres, dwelling in Sepulchres parish at the signe of the Resurrection a litle aboue Holbourne cåoduit",Printer,William Seres,,William,Tyndale,John Rodgers,"The Newe Testament of our sauiour Christ, newly set forth after the beste copie of Wyllyam Tindales translation.: Whereunto are added the notes of Thomas Mathewe wyth other, healpynge verie muche to the understandynge of the text.",Bible,Religion | Bible,1548,5,The printer to the reader | An almanake for xxix years | The kalender (The table of the epistle and gospels) | The bokes conteined in the newe testamet,To the Reader | Index,,,Yes,2853,William Tindale unto the christian reader,,British Library,EEBO
Richard,Grafton,Male,1548,Printer,,,Edward,Hall,,"The vnion of the two noble and illustrate famelies of Lancastre [and] Yorke beeyng long in continual discension for the croune of this noble realme with all the actes done in bothe the tymes of the princes, bothe of the one linage and of the other, beginnyng at the tyme of kyng Henry the fowerth, the first aucthor of this deuision, and so successiuely proceadyng to the reigne of the high and prudent prince kyng Henry the eight, the vndubitate flower and very heire of both the sayd linages.",,History,1548,4,"Richard Grafton to the reader | The names of the aucthors as well Latin as other, out of whice this worke was gathered, and after compiled and conjoyned | The names of the histories conteigned in this volume",To the Reader | Index,,,No,12721,"To the most mightie, verteous and excellent prince Edward the first, by the grace of God, kynge of England, Fraunce, nd Ireland, defendor of the Catholicke faith, and under God supreme hed, of the churches of England and Ireland, your most humble subject Edward Dalle, wisheth health, honor, and felicitie","EEBO: Continued from 1532 by Richard Grafton from Hall's notes. | ""The pitifull life of kyng Edward the. v."", ""The politique governaunce of Kyng Henry the. vii."", and ""The triumphaunt reigne of Kyng Henry the. VIII."" (caption titles) each begin new foliation on AA1r, aaa1r, and AAa1r respectively. | In the ideal configuration of this edition the second leaf is signed ""[fleuron].ii.""; third leaf verso mentions plans for the compilation of a table; fourth leaf recto has ""Englishe writers.""; in quires Aa-Rr most paragraphs begin with a word in roman type; remaining quires lack line numbers in inner margin. Originally issued without the tables. Copies containing sheets partly from other editions are matched to STC 12723a. For details of printing history see STC corrigendum to vol. 1, p. 557. | Another state of the title page (STC 12722) has ""illustre .. Yorke,"" (with comma) in line 3.",The Huntington Library,EEBO
Christopher,Barker,Male,"Imprinted at London: By James Burtel, dwellyng without the northe gate of Paules in the corner house of Pater noster rowe openinge into Chepesyde",Printer,,,Anon,,,"A Godlye and holesome preseruatyue against desperation at all times necessarye for the soule but then chiefly to be bled and ministred when the devill doth assault us moost fiercely, and deth approcheth niest",A Godlye and holesome preseruatyue against desperation,Religion,1548,1,The Preface,To the Reader,,,No,20203,,,Folger Shakespeare Library,EEBO
Anthony,Scoloker,Male,Ipswich: By Anthony Scoloker. Dwellyng in. S. Nycholas Parryshe,Printer,,,Bernadino,Ochino,,"Sermons of the ryght famous ad excellent clerke Master Bernardine Ochine, borne within the famous universyte of Siena in Italy, nowe also an exyle in this life, for the faythfull testimony of Jesus Christ",,Religion,1548,3,Anthony Scoloker unto the Reader,To the Reader,,,No,18765,Unto the ryght honourablelorde Edward Duke of Somerset mooste deare uncle unto the Kinges Maieste ad governour of hys royall parson and of his realmes dominions and subjectes protectour. Hys graces mooste humble servaunt Rychard Argentyne wissheth the increase of honour and grace | The preface,,Cambridge University Library,EEBO
Johan,Frellon,Male,Printid at Lyons: by Johan Frellon,Printer,,,Gilles,Corrozet,,"The images of the Old Testament lately expressed, set forthe in Ynglishe and Frenche vuith a playn and brief exposition.",,Devotional | Bible,1549,3,"Franciscu Frellonius Christiano Lectori, S.",To the Reader,,,Yes,3045,Nicolai Borbonii Vandoperani Poetae Lingonensis Ad Lectorem Carmen | Gilles Corrozet aux lecteurs,Narrative segments are in English. | Woodcuts by Hans Lützelburger,Folger Shakespeare Library,EEBO
Thomas,Marshe,Male,London: in ædibus Thomæ Marshe,Printer,William Seres,,Thomas,Lanquet,Thomas Cooper,"An epitome of chronicles conteining the whole discourse of the histories as well of this realme of England, as all other countreis, with the succession of their kynges, the tyme of their reigne, what notable actes thei did ... gathered out of most pbable auctors, fyrst, by Thomas Lanquet, from the beginnyng of the world to the incarnacion of Christ, and now finished and continued to the reigne of our soveraine lorde kynge Edwarde the sixt by Thomas Cooper.",An epitome of chronicles,History,1559,4,The Table | The Printer,Table of Contents | To the Reader,,,No,15217.5,The Preface. To the right high and mightie prince Edwarde | An epistle to the reader,,British Library,EEBO
John,Harrington,Male,"Imprinted at London: In Paules Churchyarde, at the sygne of thee Starre, By Thomas Raynald. and John Harryngton",Bookseller,Thomas Raynald,,Thomas,Wyatt,John Harrington,"Certayne psalmes chosen out of the psalter of Dauid, commonlye called the .vii. penytentiall psalmes, drawen into englyshe meter by Sir Thomas Wyat knyght, wherunto is added a prolage of [the] auctore before euery psalme, very pleasau[n]t [and] profettable to the godly reader","Bible, Psalms",Bible | Psalms | Translation,1549,2,"To the right honorable and his singuler good lord William, Marquesse of Northampton, earle of Essex, Barone of Kendal, Lord parre, a knight of the most noble ordre of the Garter, youre moste bounden orator at commaundement, John Harrington, wysheth helth, & prosperite wyth encreate of verue & the mercy of God for ever",Dedication,"William, marquess of Northampton",,No,2726,The prologue of the auctor,Edited by John Harrington,Cambridge Library,EEBO
John,Harrington,Male,"London: In Paules Churchyarde, at the sygne of thee Starre, By Thomas Raynald. and John Harryngton",Bookseller,Thomas Raynald,Sir Thomas Wyatt,Anonymous,,,"Certayne psalmes chosen out of the psalter of David, commonlye called the .vii. penytentiall psalmes, drawen into englyshe meter by Sir Thomas Wyat knyght, wherunto is added a prolage of [the] auctore before every psalme, very pleasau[n]t [and] profettable to the godly reader",,Religion | Psalms | Bible | Translation,1549,1,"To the right honorable and his singuler good Lord, William, Marquishe of Northampton, Earle of Essex, Barone of Kendal, Lord parre, & knight of the most noble ordre of the Garter, youre moste bonden orator at commaundement, John Hattington, wysheth helth, & prosperite wyth encrease of vertue & the mercy of God for ever",Dedication,William Parr,Male,No,2726,,,Cambridge University Library,EEBO
John,Cawood,Male,Excusum Londini: In officina Thomae Gaultier. pro J. C. Pridie,Printer | Editor,,,William,Tyndale,Desiderius Erasmus,"The new Testament in Englishe after the greeke translation annexed wyth the translation of Erasmus in Latin. Whereunto is added a kalendar, and an exhortation to the readyng of the holy scriptures made by the same Erasmus wyth the Epistles taken out of the olde testame[n]t both in Latin and Englyshe, whereu[n]to is added a table necessarry to finde the Epistles and Gospels for euery sonday & holyday throughout the yere after the vse of the churche of England nowe.",Bible,Religion | Devotional,1550,2,"J. C. unto the Christen reder | A table to fynde the Epistles and Gospels usually reade in the Churche, accordyinge unto the booke of Common prayer",To the Reader | Index,,,No,2821,"An almanacke for the xxii yeares | An exhortacion to the diligent studye of scripture, made by Erasmus Roterodamus","The beginning of Matthew XXII in Latin, ""Et respondens .. ait."", erroneously printed at the bottom of C6v; may be corrected with a blank cancel there and a printed cancel on C7r. (STC). | John Cawood edits the publication.",British Library,EEBO
Robert,Crowley,Male,Imprinted at London: By Robert Crowley dwellynge in Elie rents in Holburn,Printer,Richard Grafton,,John,Purvey,John Wycliffe | Robert Crowley,"The true copye of a prolog wrytten about two C. yeres paste by Iohn Wycklife (as maye iustly be gatherid bi that, that Iohn Bale hath writte[n] of him in his boke entitlid the Summarie of famouse writers of the Ile of great Brita[n]) the originall whereof is founde written in an olde English Bible bitwixt the olde Testament and the Newe. Whych Bible remaynith now in ye Kyng hys majesties chamber.",Dore of Holy Scripture,Religion | Bible,1550,1,To the Reader,To the Reader,,,No,25588,,,The Huntington Library,EEBO
Robert,Crowley,Male,"By Roberte Crowley, dwellyng in Elye rentes in Holburne",Printer,Richard Grafton,,William,Langland,,"The vision of Pierce Plowman now fyrste imprynted by Roberte Crowley, dwellyng in Ely rentes in Holburne. Anno Domini. 1550. Cum priuilegio ad imprimendu[m] solum.",Pierce Plowman,Verse,1550,1,The Printer to the Reader,To the Reader,,,No,19906,,,The Huntington Library,EEBO
Walter,Lynne,Male,None,Bookseller,S. Mierdman,Henrich Bullinger | Leo Jude | Conrade Pellicane,Heinrich,Bullinger,Leo Juda | Konrad Pellicanus,"A brief and compendiouse table, in a maner of a concordaunce openyng the waye to the principall histories of the whole Bible, and the moste comon articles grounded and comprehended in the newe Testament and olde, in maner as amply as doeth the great concordauce of the Bible. Gathered and set furth by Henry Bollynger, Leo Iude, Conrade Pellicane, and by the other ministers of the church of Tygurie. And nowe first imprinted in Englyshe. D.M.L. [sic] The third boke of the Machabees a booke of the Bible also prynted vnto this boke which was neuer before translated or prynted in any Englyshe Bible. The contents of this booke are conteyned in the next leafe.",Third Book of Maccabees,Bible | Religion,1550,4,"To the right noble and vertuouse Lady. Lady Anne, douchesse of Somerset &c, her moste bounden and dayly Oratour Gwalter Lynne wyshed aboundaunce of all grace and Godlynes wyth a longe and prosperous estate, to Goddis honour and your graces health and saluacyon | Gwalter Lynne to the reader | A brefe and compendious Register or Table of the pryncypal Histories, and mooste commune artycles grounded and comprehended in the old and newe testament, vnto the reader, even maner as ample & proffitable as a great Concordaunce.",Dedication | To the Reader | Table of Contents,"Anne Seymour, Duchess of Somerset",Female,No,17117,"Henry Bullynger, Leo Jude, Conrade Pellicane, and the other ministers of the churche of Tygurie sende unto the Christian reader gretynge.",,British Library,EEBO
Walter,Lynne,Male,"London: for Gwalter Lynne, dwellinge on Somers kaye, by Byllinges gate",Printer,S. Mierdman,,Wolfgang,Capito,,"The true beliefe in Christ and his sacramentes set forth in a dialoge betwene a Christen father and his sonne, verye necessary to be learned of all men, of what estate soeuer they be.",De pueris instutituendis,Religion | Christian Education,1550,1,"To the most graciouse lady, lady Ann, douchesse of Somerset her moste faythful and daylye oratoure, Gwalter Lynne wysheth eternall felicite",Dedication,"Anne Seymour, Duchess of Somerset",Female,No,14576,,Printer's name from STC,British Library,EEBO
Richard,Grafton,Male,Anno 1550,Printer,,,,,"England and Wales, Sovereign","All such proclamacions, as haue been sette furthe by the Kynges majestie (and passed the print) from the last daie of Ianuarij, in the firste yere of his highnes reigne, vnto the last daie of Ianuarij, beeying in the .iiij. yere of his said moste prosperous reigne, that is to saie, by the space of iiij. whole yeres. Anno 1550",Proclamations,History | Law,1551,2,To the reader | The table,To the Reader | Table of Contents,,,No,7758,,"Colophon readers: Imprinted at London, by Richard Grafton, printer to the kynges maestie [sic]. Anno 1550. Cum privilegio ad imprimendum solum.",British Library,EEBO
John,Day,Male,Imprinted at London: by Jhon Day dwellyng over Aldersgate. beneth Saint Martins,Printer,,,William,Tyndale,,"The fyrste parte of the Bible called the .v. bookes of Moses translated by W.T. wyth all his prologes before euery boke, and certeine learned notes vpon many harde wordes. Genesis. Exodus. Leviticus. Numeri. Deuteronomium",Bible,Religion | Bible,1551,2,The printer to the reader,Printer to the Reader,,,No,2087,The prologue shewinge the use of the scripture made by William Tindal,,British Library,EEBO
John,Oswen,Male,Worcester: Imprinted the .xij. daye of January Anno. Do. M.CCCCC.L. at Worceter [sic] by Jhon Oswen,Printer,,,Anonymous,,,The newe Testament of oure Savioure Jesu Christe. Wyth the notes and expositions of the darke places therein,,Religion | Bible,1551,2,The bookes contayned in the newe testament | The Prynter to the Reader,Table of Contents | Printer to the Reader,,,No,2862,,,British Library,EEBO
Richard,Lugge,Male,"Imprynted at London: By Richarde Jugge, dwellynge in Paules Churche yarde at the signe of the Byble, with the kynge his moost gratious lycence",Printer,,,William,Tyndale,,The Newe Testament of our Sauiour Jesu Christe faythfully translated out of the Greke ; wyth the notes and expositions of the darke places therein.,New Testament,Bible,1552,4,"To the most puysaunt and mightye prince Edwarde the fyrst, by the grace of God, kynd of Englande, Fraunce, and Irelande, defender of the fayth, and of the churche of England and also of Irelande, in earth the supreme head, your graces mose humble and obediente subjecte Rycharde Lugge, wysheth all grace and peace from God, wyth longe rayne, honoure, healthe, and prosperitye | [Untitled calendar] | An almanacke for xxiiii years | A table of the principall matters contayned in this Testamente | A table to fynde the Epystles and Gospels, reader in the churche of Englande, whereof the fyrste lyne is the Epistle, & the other the Gospel",Dedication | Calendar | Table of Contents,,,Yes,2867,Bound with The Epistles of Saint Paule,,Cambridge Library,EEBO
John,Mychell,Male,Canterbury: Prynted at Canterbury in Saynt Paules parysh by John Mychell,Printer,,,Anonymous,,,A breviat cronicle contaynynge all the kinges from Brute to this daye and manye notable actes gathered oute of diuers cronicles fro Willyam Conquerour vnto the yere of Christ a. M.d.c.lii,Chronicles of England,History,1552,1,"To the righte worshipful knight syr Antony Anchor master of the Kinges juel house, Iohn mychell boke Prynter wisheth helthe and prosperitie",Dedication,Anthony Anchor,,No,9968,,,"The John Rylands Library, University of Manchester",EEBO
John,Day,Male,Imprinted at Londo: By Jho Day with the kinges most gracious licece and priuiledge: forbidding all other to print the same catechisme,Printer,,,John,Ponet,,"A short catechisme, or playne instruction, conteynynge the su[m]me of Christian learninge sett fourth by the kings majesties authoritie, for all scholemaisters to teache. To thys catechisme are adioyned the Articles agreed vpon by the bishoppes [and] other learned and godly men, in the last conuocatio[n] at London, in the yeare of our Lorde, M.D.LII. for to roote out the discord of of [sic] opinions, and stablish the agreme[n]t of trew religion: Likewyse published by the Kinges majesties authoritie. 1553.",Cathechism,Devotional,1553,1,The Table,Index,,,No,4812,,Includes 42 Articles from STC 10034,British Library,EEBO
